Название_ЖК,name,distance
Capital Towers (Кэпитал Тауэрс),"«Парк Красная Пресня», Краснопресненская набережная (1001502)",140.19106738879097
Capital Towers (Кэпитал Тауэрс),"«Парк Красная Пресня», Краснопресненская набережная (1001503)",329.6276638441099
Capital Towers (Кэпитал Тауэрс),"«Экспоцентр», Краснопресненская набережная (1001362)",332.27453721558203
Capital Towers (Кэпитал Тауэрс),"«Экспоцентр», Краснопресненская набережная (1001363)",472.1414769464929
Capital Towers (Кэпитал Тауэрс),"«1-й Красногвардейский пр.», 1-й Красногвардейский проезд (2963)",496.31691188002816
Capital Towers (Кэпитал Тауэрс),"«Метро Выставочная», 1-й Красногвардейский проезд (1009476)",647.887200747227
Capital Towers (Кэпитал Тауэрс),"«Дорогомиловская Застава», Кутузовский проспект (6616)",683.8656910363579
Capital Towers (Кэпитал Тауэрс),"«Мантулинская ул.», Мантулинская улица (2962)",708.3422327760879
Capital Towers (Кэпитал Тауэрс),"«Метро Выставочная», 1-й Красногвардейский проезд (13523)",728.4675981538618
Capital Towers (Кэпитал Тауэрс),"«Мост Багратион», Пресненская набережная (1000933)",743.9142553489014
Capital Towers (Кэпитал Тауэрс),"«Мантулинская ул.», Мантулинская улица (8217)",744.3081475707197
Capital Towers (Кэпитал Тауэрс),"«Дорогомиловская Застава», Кутузовский проспект (7753)",755.6754287761324
Capital Towers (Кэпитал Тауэрс),"«Мантулинская ул.», улица Сергея Макеева (2974)",759.9943129760891
Capital Towers (Кэпитал Тауэрс),"«Мост Багратион», Пресненская набережная (1000932)",760.4256287060488
Capital Towers (Кэпитал Тауэрс),"«Дорогомиловская Застава», Большая Дорогомиловская улица (2265)",810.8520677961463
Capital Towers (Кэпитал Тауэрс),"«Дорогомиловская Застава», Большая Дорогомиловская улица (2417)",813.2376991506926
Capital Towers (Кэпитал Тауэрс),"«Центр международной торговли», Краснопресненская набережная (1000934)",813.6543775685353
Capital Towers (Кэпитал Тауэрс),"«Центр международной торговли», Краснопресненская набережная (1000935)",824.1951996932331
Capital Towers (Кэпитал Тауэрс),"«Кутузовский просп., 8», Кутузовский проспект (5409)",901.8187725654761
Capital Towers (Кэпитал Тауэрс),"«Кутузовский просп., 8», Кутузовский проспект (5400)",935.077295213606
Capital Towers (Кэпитал Тауэрс),"«Красногвардейский бульв.», Шмитовский проезд (3549)",953.302400957809
Capital Towers (Кэпитал Тауэрс),"«Красногвардейский бульв.», Шмитовский проезд (3555)",987.2527587103283
FreeDom,"«Карамышевская наб., 1», Карамышевская набережная (16052)",476.5367349106225
FreeDom,"«5-й автобусный парк», Звенигородское шоссе (16510)",637.8835870921511
FreeDom,"«5-й автобусный парк», 2-й Силикатный проезд (15862)",650.1681026989169
FreeDom,"«5-й автобусный парк», улица Мнёвники (15569)",691.5184962300033
FreeDom,"«Улица Мясищева», Филёвский бульвар (8644)",762.181495086495
FreeDom,"«Ул. Мясищева», Филёвский бульвар (2376)",792.9749824020586
FreeDom,"«2-й Силикатный пр.», 1-й Силикатный проезд (1559)",882.3406566805202
FreeDom,"«Филевский бульв., 2», Филёвский бульвар (2375)",892.9888741520443
FreeDom,"«Ул. Демьяна Бедного», Карамышевская набережная (14523)",897.9362573926035
FreeDom,"«Новофилёвский пр.», Новофилёвский проезд (2368)",898.0333385895265
FreeDom,"«Новофилёвский пр.», Новофилёвский проезд (2377)",903.4436923083376
FreeDom,"«2-й Силикатный пр.», 1-й Силикатный проезд (1000873)",914.3176840058463
FreeDom,"«2-й Силикатный пр.», 1-й Силикатный проезд (1600)",935.5060163453023
FreeDom,"«Филевский бульв., 2», Филёвский бульвар (2369)",947.2580458503872
FreeDom,"«ул. Мневники, 4», улица Мнёвники (15969)",956.6012785342298
FreeDom,"«МЖК Атом», улица Мнёвники (747)",965.772197483828
Wellton Towers (Веллтон Тауэрс),"«Ул. Народного Ополчения, 9», улица Народного Ополчения (17196)",172.6044992024943
Wellton Towers (Веллтон Тауэрс),"«МФЦ Хорошево-Мневники», проспект Маршала Жукова (17194)",232.23391854989467
Wellton Towers (Веллтон Тауэрс),"«Просп. Марш. Жукова», улица Народного Ополчения (825)",271.8978128952352
Wellton Towers (Веллтон Тауэрс),"«Ул. Народного Ополчения», проспект Маршала Жукова (1092)",346.3954433852893
Wellton Towers (Веллтон Тауэрс),"«Ул. Народного Ополчения, 3», улица Народного Ополчения (1588)",411.4059522546589
Wellton Towers (Веллтон Тауэрс),"«Ул. Народного Ополчения, 3», улица Народного Ополчения (1573)",482.5377152257255
Wellton Towers (Веллтон Тауэрс),"«Бульв. Ген. Карбышева», проспект Маршала Жукова (17195)",558.7472961045885
Wellton Towers (Веллтон Тауэрс),"«Ул. Народного Ополчения», улица Народного Ополчения (1634)",614.792672202764
Wellton Towers (Веллтон Тауэрс),"«Ул. Народного Ополчения, 21», улица Народного Ополчения (1001499)",619.6785446626287
Wellton Towers (Веллтон Тауэрс),"«Бульв. Ген. Карбышева», улица Саляма Адиля (1098)",624.7594538530102
Wellton Towers (Веллтон Тауэрс),"«Ул. Мневники, 16», улица Мнёвники (1571)",631.1000698919721
Wellton Towers (Веллтон Тауэрс),"«Бульв. Ген. Карбышева», проспект Маршала Жукова (1096)",633.035176706009
Wellton Towers (Веллтон Тауэрс),"«Карамышевская наб.», Карамышевская набережная (749)",676.8227477530376
Wellton Towers (Веллтон Тауэрс),"«Шлюз № 9», Карамышевская набережная (750)",677.7666236396899
Wellton Towers (Веллтон Тауэрс),"«Карамышевская наб.», Карамышевская набережная (742)",696.6281560078401
Wellton Towers (Веллтон Тауэрс),"«Бульв. Ген. Карбышева», бульвар Генерала Карбышева (1114)",702.9788955040174
Wellton Towers (Веллтон Тауэрс),"«Больница № 67», улица Саляма Адиля (1002277)",742.7186307305982
Wellton Towers (Веллтон Тауэрс),"«Шлюз № 9», Карамышевская набережная (741)",748.4191703313261
Wellton Towers (Веллтон Тауэрс),"«Бульв. Ген. Карбышева», проспект Маршала Жукова (1093)",753.6040147747163
Wellton Towers (Веллтон Тауэрс),"«Больница № 67», улица Саляма Адиля (740)",772.4001957795382
Wellton Towers (Веллтон Тауэрс),"«Метро Народное Ополчение», проспект Маршала Жукова (17040)",776.0362061047659
Wellton Towers (Веллтон Тауэрс),"«Ул. Мневники, 16», улица Мнёвники (17123)",783.0139988229847
Wellton Towers (Веллтон Тауэрс),"«Карамышевская наб. (к/ст)», Карамышевская набережная (16137)",785.1887310605792
Wellton Towers (Веллтон Тауэрс),"«Больница № 67», Карамышевская набережная (14524)",847.2222175085967
